Id,SalePrice
1461,122745.04
1462,156085.6
1463,188652.93333333332
1464,186444.66666666666
1465,194349.32
1466,182610.14666666667
1467,170867.12
1468,174934.25333333333
1469,179326.13333333333
1470,121621.43333333333
1471,193792.4
1472,95726.66666666667
1473,97527.47333333333
1474,154157.77333333335
1475,140579.34
1476,376693.64666666667
1477,259782.24666666667
1478,305056.08666666667
1479,249916.70666666667
1480,443627.67333333334
1481,306599.6
1482,208892.32666666666
1483,168812.32666666666
1484,175095.13333333333
1485,175291.15333333332
1486,203516.20666666667
1487,314113.85333333333
1488,247759.58666666667
1489,217167.92
1490,200295.68
1491,189067.5
1492,93489.28
1493,182595.88
1494,302107.32
1495,294831.38
1496,224027.67333333334
1497,186619.31333333332
1498,152018.7533333333
1499,151129.96977777776
1500,149251.79333333333
1501,177137.9
1502,156370.0488888889
1503,277763.55333333334
1504,229782.20666666667
1505,216094.76666666666
1506,180311.05333333334
1507,217599.66666666666
1508,202996.13333333333
1509,164540.0
1510,151597.12
1511,148844.09333333332
1512,160624.66666666666
1513,147587.24666666667
1514,173058.33333333334
1515,176637.13333333333
1516,172044.92
1517,152149.66666666666
1518,129421.17333333334
1519,226699.50666666665
1520,138039.33333333334
1521,142249.66666666666
1522,173217.6
1523,116602.14666666667
1524,119075.0
1525,130145.72
1526,131054.33333333333
1527,96674.70666666667
1528,127560.66666666667
1529,140255.58
1530,170617.0
1531,130538.15333333334
1532,105925.99333333333
1533,135408.32666666666
1534,117741.10666666667
1535,168230.10666666666
1536,116441.72666666667
1537,86452.62666666666
1538,186318.0
1539,220634.96666666667
1540,122908.79333333333
1541,159565.18
1542,147481.14666666667
1543,229435.16666666666
1544,81200.40666666666
1545,100667.55333333333
1546,116744.7
1547,136099.68
1548,138118.24
1549,112561.28666666667
1550,148490.45333333334
1551,119381.63333333333
1552,153687.04
1553,145452.26666666666
1554,105615.91333333333
1555,181298.96
1556,111461.8
1557,130698.18666666666
1558,98001.17333333334
1559,127774.97333333333
1560,153882.66666666666
1561,160010.72
1562,126643.50666666667
1563,122456.38666666667
1564,159761.19333333333
1565,156495.12666666668
1566,217143.18666666668
1567,83598.2
1568,219307.16
1569,154360.7
1570,118139.95333333334
1571,132935.31333333332
1572,147290.06
1573,253917.32
1574,142341.94
1575,205404.29333333333
1576,205681.6
1577,208888.86666666667
1578,152481.58666666667
1579,142828.26666666666
1580,194594.66666666666
1581,139345.44666666666
1582,129154.66666666667
1583,327386.30666666664
1584,242896.0
1585,140263.66666666666
1586,77646.96
1587,95767.63333333333
1588,141885.5
1589,106176.12
1590,134774.5
1591,105361.16
1592,127456.90666666666
1593,114720.61333333333
1594,142605.29333333333
1595,135133.16
1596,238859.94
1597,173211.62666666668
